questao,tipo_de_erro,ocorrencia
merge_invertido,Knowledge,9
merge_invertido,Skill,1
merge_invertido,Rule,7
merge_invertido,Specification,12
merge_invertido,None,5
squeeze,Knowledge,5
squeeze,Skill,0
squeeze,Rule,4
squeeze,Specification,6
squeeze,None,13
square_code,Knowledge,4
square_code,Skill,4
square_code,Rule,1
square_code,Specification,1
square_code,None,2
pares_palavras,Knowledge,2
pares_palavras,Skill,0
pares_palavras,Rule,0
pares_palavras,Specification,3
pares_palavras,None,9
